Location
Marina Bay Sands
Gardens by the Bay
Marina Barrage
Singapore Flyer
Millenia Walk
Raffles City
Singapore Management University (SMU)
City Square Mall
MacRitchie Reservoir
Bishan-Ang Mo Kio Park
NEX Mall
Bedok Mall
Tampines Mall
Eastpoint Mall
Jewel Changi Airport
Changi Airport
Changi Village
Pasir Ris Park
Punggol Settlement
Waterway Point
Seletar Aerospace Park
Republic Polytechnic
Woodlands Waterfront Park
Causeway Point
Singapore Zoo
Bukit Panjang Plaza
Bukit Batok Nature Park
Nanyang Technological University (NTU)
IMM Mall
Clementi Mall
West Coast Park
Rochester Mall
The Star Vista
Holland Village
Gillman Barracks
Sentosa Island
VivoCity
Mount Faber Park
Tiong Bahru Plaza
ION Orchard
Orchard Road
Clarke Quay
Chinatown Point
One Raffles Place
Marina Bay Sands
